bead_id,inoculant,polymer,medium,plate_id,initial_weight,initial_date,initial time,elapsed_weeks,end_date,days_to_end_date,end_weight,
BB25_3,None,Alginate,Paper,BB25_3_P1_1,0.437,2/3/2025,12:24 PM,1,2/10/2025,#NUM!,0.381,
BB25_3,None,Alginate,Paper,BB25_3_P1_2,0.418,2/3/2025,12:28 PM,1,2/10/2025,#NUM!,0.368,
BB25_3,None,Alginate,Paper,BB25_3_P1_3,0.401,2/3/2025,12:30 PM,1,2/10/2025,#NUM!,0.330,
BB25_3,None,Alginate,Paper,BB25_3_P1_4,0.397,2/3/2025,12:33 PM,1,2/10/2025,#NUM!,0.354,
BB25_3,None,Alginate,Paper,BB25_3_P1_5,0.395,2/3/2025,12:38 PM,1,2/10/2025,#NUM!,0.384,
BB25_3,None,Alginate,Paper,BB25_3_P1_6,0.372,2/3/2025,12:39 PM,1,2/10/2025,#NUM!,0.361,
BB25_3,None,Alginate,Paper,BB25_3_P1_7,0.371,2/3/2025,12:41 PM,1,2/10/2025,#NUM!,0.343,
BB25_3,None,Alginate,Paper,BB25_3_P1_8,0.354,2/3/2025,12:44 PM,1,2/10/2025,#NUM!,0.342,
BB25_3,None,Alginate,Paper,BB25_3_P1_9,0.364,2/3/2025,12:45 PM,1,2/10/2025,#NUM!,0.392,
BB25_3,None,Alginate,Paper,BB25_3_P1_10,0.413,2/3/2025,12:47 PM,1,2/10/2025,#NUM!,0.402,
BB25_3,None,Alginate,Paper,BB25_3_P2_1,0.382,2/3/2025,12:49 PM,2,2/17/2025,#NUM!,0.089,
BB25_3,None,Alginate,Paper,BB25_3_P2_2,0.357,2/3/2025,12:51 PM,2,2/17/2025,#NUM!,0.294,
BB25_3,None,Alginate,Paper,BB25_3_P2_3,0.367,2/3/2025,12:53 PM,2,2/17/2025,#NUM!,0.365,
BB25_3,None,Alginate,Paper,BB25_3_P2_4,0.357,2/3/2025,12:55 PM,2,2/17/2025,#NUM!,0.400,
BB25_3,None,Alginate,Paper,BB25_3_P2_5,0.391,2/3/2025,12:56 PM,2,2/17/2025,#NUM!,0.378,
BB25_3,None,Alginate,Paper,BB25_3_P2_6,0.387,2/3/2025,12:57 PM,2,2/17/2025,#NUM!,0.372,
BB25_3,None,Alginate,Paper,BB25_3_P2_7,0.389,2/3/2025,12:59 PM,2,2/17/2025,#NUM!,0.370,
BB25_3,None,Alginate,Paper,BB25_3_P2_8,0.388,2/3/2025,1:00 PM,2,2/17/2025,#NUM!,0.383,
BB25_3,None,Alginate,Paper,BB25_3_P2_9,0.370,2/3/2025,1:02 PM,2,2/17/2025,#NUM!,0.344,
BB25_3,None,Alginate,Paper,BB25_3_P2_10,0.378,2/3/2025,1:03 PM,2,2/17/2025,#NUM!,0.337,
BB25_3,None,Alginate,Paper,BB25_3_P3_1,0.372,2/3/2025,1:05 PM,3,2/24/2025,#NUM!,0.017,
BB25_3,None,Alginate,Paper,BB25_3_P3_2,0.379,2/3/2025,1:07 PM,3,2/24/2025,#NUM!,0.352,
